O funcionário possui pouquíssima perspicácia,-2
O funcionário possui pouquíssima visão gerencial,-2
O funcionário possui pouquíssima influência na empresa,-2
O funcionário possui pouquíssima clareza,-2
O funcionário possui pouquíssima qualidades,-2
O funcionário possui pouquíssima experiência,-2
O funcionário possui pouquíssima liderançavisão estratégica,-2
O funcionário possui pouquíssima criatividade,-2
O funcionário possui pouquíssima ética,-2
O funcionário possui pouquíssima competências comportamentais,-2
O funcionário possui pouquíssima assiduidade,-2
O funcionário possui pouquíssima dedicação,-2
O funcionário possui pouquíssima confiabilidade,-2
O funcionário possui pouquíssima capacidade técnica,-2
O funcionário possui pouquíssima facilidade com os problemas encontrados,-2
O funcionário possui pouquíssima inovação,-2
O funcionário possui pouquíssima competências técnicas,-2
O funcionário possui pouquíssima educação,-2
O funcionário possui pouquíssima organização,-2
O funcionário possui pouquíssima comunicação,-2
O funcionário possui pouquíssima inteligência social e emocional,-2
O funcionário possui pouquíssima responsabilidade,-2
O funcionário possui pouquíssima performance,-2
O funcionário possui pouquíssima desenvoltura,-2
O funcionário não possui pouquíssima perspicácia,2
O funcionário não possui pouquíssima visão gerencial,2
O funcionário não possui pouquíssima influência na empresa,2
O funcionário não possui pouquíssima clareza,2
O funcionário não possui pouquíssima qualidades,2
O funcionário não possui pouquíssima experiência,2
O funcionário não possui pouquíssima liderançavisão estratégica,2
O funcionário não possui pouquíssima criatividade,2
O funcionário não possui pouquíssima ética,2
O funcionário não possui pouquíssima competências comportamentais,2
O funcionário não possui pouquíssima assiduidade,2
O funcionário não possui pouquíssima dedicação,2
O funcionário não possui pouquíssima confiabilidade,2
O funcionário não possui pouquíssima capacidade técnica,2
O funcionário não possui pouquíssima facilidade com os problemas encontrados,2
O funcionário não possui pouquíssima inovação,2
O funcionário não possui pouquíssima competências técnicas,2
O funcionário não possui pouquíssima educação,2
O funcionário não possui pouquíssima organização,2
O funcionário não possui pouquíssima comunicação,2
O funcionário não possui pouquíssima inteligência social e emocional,2
O funcionário não possui pouquíssima responsabilidade,2
O funcionário não possui pouquíssima performance,2
O funcionário não possui pouquíssima desenvoltura,2
O funcionário possui pouca perspicácia,-2
O funcionário possui pouca visão gerencial,-2
O funcionário possui pouca influência na empresa,-2
O funcionário possui pouca clareza,-2
O funcionário possui pouca qualidades,-2
O funcionário possui pouca experiência,-2
O funcionário possui pouca liderançavisão estratégica,-2
O funcionário possui pouca criatividade,-2
O funcionário possui pouca ética,-2
O funcionário possui pouca competências comportamentais,-2
O funcionário possui pouca assiduidade,-2
O funcionário possui pouca dedicação,-2
O funcionário possui pouca confiabilidade,-2
O funcionário possui pouca capacidade técnica,-2
O funcionário possui pouca facilidade com os problemas encontrados,-2
O funcionário possui pouca inovação,-2
O funcionário possui pouca competências técnicas,-2
O funcionário possui pouca educação,-2
O funcionário possui pouca organização,-2
O funcionário possui pouca comunicação,-2
O funcionário possui pouca inteligência social e emocional,-2
O funcionário possui pouca responsabilidade,-2
O funcionário possui pouca performance,-2
O funcionário possui pouca desenvoltura,-2
O funcionário não possui pouca perspicácia,2
O funcionário não possui pouca visão gerencial,2
O funcionário não possui pouca influência na empresa,2
O funcionário não possui pouca clareza,2
O funcionário não possui pouca qualidades,2
O funcionário não possui pouca experiência,2
O funcionário não possui pouca liderançavisão estratégica,2
O funcionário não possui pouca criatividade,2
O funcionário não possui pouca ética,2
O funcionário não possui pouca competências comportamentais,2
O funcionário não possui pouca assiduidade,2
O funcionário não possui pouca dedicação,2
O funcionário não possui pouca confiabilidade,2
O funcionário não possui pouca capacidade técnica,2
O funcionário não possui pouca facilidade com os problemas encontrados,2
O funcionário não possui pouca inovação,2
O funcionário não possui pouca competências técnicas,2
O funcionário não possui pouca educação,2
O funcionário não possui pouca organização,2
O funcionário não possui pouca comunicação,2
O funcionário não possui pouca inteligência social e emocional,2
O funcionário não possui pouca responsabilidade,2
O funcionário não possui pouca performance,2
O funcionário não possui pouca desenvoltura,2
